"protocol","port","description"
"UDP",131,"cisco TNATIVE"
"UDP",132,"cisco SYSMAINT"
"UDP",133,"Statistics Service"
"UDP",134,"INGRES-NET Service"
"UDP",135,"DCE endpoint resolution"
"UDP",136,"PROFILE Naming System"
"UDP",137,"NETBIOS Name Service"
"UDP",138,"NETBIOS Datagram Service"
"UDP",139,"NETBIOS Session Service"
"UDP",140,"EMFIS Data Service"
"UDP",141,"EMFIS Control Service"
"UDP",142,"Britton-Lee IDM"
"UDP",143,"Internet Message Access Protocol"
"UDP",144,"Universal Management Architecture"
"UDP",145,"UAAC Protocol"
"UDP",146,"ISO-IP0"
"UDP",147,"ISO-IP"
"UDP",148,"Jargon"
"UDP",149,"AED 512 Emulation Service"
"UDP",150,"SQL-NET"
"UDP",151,"HEMS"
"UDP",152,"Background File Transfer Program"
"UDP",153,"SGMP"
"UDP",154,"NETSC"
"UDP",155,"NETSC"
"UDP",156,"SQL Service"
"UDP",157,"KNET/VM Command/Message Protocol"
"UDP",158,"PCMail Server"
"UDP",159,"NSS-Routing"
"UDP",160,"SGMP-TRAPS"
"UDP",161,"SNMP"
"UDP",162,"SNMPTRAP"
"UDP",163,"CMIP/TCP Manager"
"UDP",164,"CMIP/TCP Agent"
"UDP",165,"Xerox"
"UDP",166,"Sirius Systems"
"UDP",167,"NAMP"
"UDP",168,"RSVD"
"UDP",169,"SEND"
"UDP",170,"Network PostScript"
"UDP",171,"Network Innovations Multiplex"
"UDP",172,"Network Innovations CL/1"
"UDP",173,"Xyplex"
"UDP",174,"MAILQ"
"UDP",175,"VMNET"
"UDP",176,"GENRAD-MUX"
"UDP",177,"X Display Manager Control Protocol"
"UDP",178,"NextStep Window Server"
"UDP",179,"Border Gateway Protocol"
"UDP",180,"Intergraph"
"UDP",181,"Unify"
"UDP",182,"Unisys Audit SITP"
"UDP",183,"OCBinder"
"UDP",184,"OCServer"
"UDP",185,"Remote-KIS"
"UDP",186,"KIS Protocol"
"UDP",187,"Application Communication Interface"
"UDP",188,"Plus Five's MUMPS"
"UDP",189,"Queued File Transport"
"UDP",190,"Gateway Access Control Protocol"
"UDP",191,"Prospero Directory Service"
"UDP",192,"OSU Network Monitoring System"
"UDP",193,"Spider Remote Monitoring Protocol"
"UDP",194,"Internet Relay Chat Protocol"
"UDP",195,"DNSIX Network Level Module Audit"
"UDP",196,"DNSIX Session Mgt Module Audit Redir"
"UDP",197,"Directory Location Service"
"UDP",198,"Directory Location Service Monitor"
"UDP",199,"SMUX"
"UDP",200,"IBM System Resource Controller"
"UDP",201,"AppleTalk Routing Maintenance"
"UDP",202,"AppleTalk Name Binding"
"UDP",203,"AppleTalk Unused"
"UDP",204,"AppleTalk Echo"
"UDP",205,"AppleTalk Unused"
"UDP",206,"AppleTalk Zone Information"
"UDP",207,"AppleTalk Unused"
"UDP",208,"AppleTalk Unused"
"UDP",209,"The Quick Mail Transfer Protocol"
"UDP",210,"ANSI Z39.50"
"UDP",211,"Texas Instruments 914C/G Terminal"
"UDP",212,"ATEXSSTR"
"UDP",213,"IPX"
"UDP",214,"VM PWSCS"
"UDP",215,"Insignia Solutions"
"UDP",216,"Computer Associates Int'l License Server"
"UDP",217,"dBASE Unix"
"UDP",218,"Netix Message Posting Protocol"
"UDP",219,"Unisys ARPs"
"UDP",220,"Interactive Mail Access Protocol v3"
"UDP",221,"Berkeley rlogind with SPX auth"
"UDP",222,"Berkeley rshd with SPX auth"
"UDP",223,"Certificate Distribution Center"
"UDP",224,"masqdialer"
"UDP",242,"Direct"
"UDP",243,"Survey Measurement"
"UDP",244,"inbusiness"
"UDP",245,"LINK"
"UDP",246,"Display Systems Protocol"
"UDP",247,"SUBNTBCST_TFTP"
"UDP",248,"bhfhs"
"UDP",256,"RAP"
"UDP",257,"Secure Electronic Transaction"
"UDP",258,"Yak Winsock Personal Chat"
"UDP",259,"Efficient Short Remote Operations"
"UDP",260,"Openport"
"UDP",261,"IIOP Name Service over TLS/SSL"
"UDP",262,"Arcisdms"
"UDP",263,"HDAP"
"UDP",264,"BGMP"
"UDP",265,"X-Bone CTL"
"UDP",266,"SCSI on ST"
"UDP",267,"Tobit David Service Layer"
"UDP",268,"Tobit David Replica"
"UDP",280,"HTTP-mgmt"
"UDP",281,"Personal Link"
"UDP",282,"Cable Port A/X"
"UDP",283,"rescap"
"UDP",284,"corerjd"
"UDP",286,"FXP-1"
"UDP",287,"K-BLOCK"
"UDP",308,"Novastor Backup"
"UDP",309,"EntrustTime"
"UDP",310,"bhmds"
"UDP",311,"AppleShare IP WebAdmin"
"UDP",312,"VSLMP"
"UDP",313,"Magenta Logic"
"UDP",314,"Opalis Robot"
"UDP",315,"DPSI"
"UDP",316,"decAuth"
"UDP",317,"Zannet"
"UDP",318,"PKIX TimeStamp"
"UDP",319,"PTP Event"
"UDP",320,"PTP General"
"UDP",321,"PIP"
"UDP",322,"RTSPS"
"UDP",333,"Texar Security Port"
"UDP",344,"Prospero Data Access Protocol"
"UDP",345,"Perf Analysis Workbench"
"UDP",346,"Zebra server"
"UDP",347,"Fatmen Server"
"UDP",348,"Cabletron Management Protocol"
"UDP",349,"mftp"
"UDP",350,"MATIP Type A"
"UDP",351,"bhoetty"
"UDP",352,"bhoedap4"
"UDP",353,"NDSAUTH"
"UDP",354,"bh611"
"UDP",355,"DATEX-ASN"
"UDP",356,"Cloanto Net 1"
"UDP",357,"bhevent"
"UDP",358,"Shrinkwrap"
"UDP",359,"Tenebris Network Trace Service"
"UDP",360,"scoi2odialog"
"UDP",361,"Semantix"
"UDP",362,"SRS Send"
"UDP",363,"RSVP Tunnel"
"UDP",364,"Aurora CMGR"
"UDP",365,"DTK"
"UDP",366,"ODMR"
"UDP",367,"MortgageWare"
"UDP",368,"QbikGDP"
"UDP",369,"rpc2portmap"
"UDP",370,"codaauth2"
"UDP",371,"Clearcase"
"UDP",372,"ListProcessor"
"UDP",373,"Legent Corporation"
"UDP",374,"Legent Corporation"
"UDP",375,"Hassle"
"UDP",376,"Amiga Envoy Network Inquiry Proto"
"UDP",377,"NEC Corporation"
"UDP",378,"NEC Corporation"
"UDP",379,"TIA/EIA/IS-99 modem client"
"UDP",380,"TIA/EIA/IS-99 modem server"
"UDP",381,"hp performance data collector"
"UDP",382,"hp performance data managed node"
"UDP",383,"hp performance data alarm manager"
"UDP",384,"A Remote Network Server System"
"UDP",385,"IBM Application"
"UDP",386,"ASA Message Router Object Def."
"UDP",387,"Appletalk Update-Based Routing Pro."
"UDP",388,"Unidata LDM"
"UDP",389,"Lightweight Directory Access Protocol"
"UDP",390,"UIS"
"UDP",391,"SynOptics SNMP Relay Port"
"UDP",392,"SynOptics Port Broker Port"
"UDP",393,"Data Interpretation System"
"UDP",394,"EMBL Nucleic Data Transfer"
"UDP",395,"NETscout Control Protocol"
"UDP",396,"Novell Netware over IP"
"UDP",397,"Multi Protocol Trans. Net."
"UDP",398,"Kryptolan"
"UDP",399,"ISO Transport Class 2 Non-Control over TCP"
"UDP",400,"Workstation Solutions"
"UDP",401,"Uninterruptible Power Supply"
"UDP",402,"Genie Protocol"
"UDP",403,"decap"
"UDP",404,"nced"
"UDP",405,"ncld"
"UDP",406,"Interactive Mail Support Protocol"
"UDP",407,"Timbuktu"
"UDP",408,"Prospero Resource Manager Sys. Man."
"UDP",409,"Prospero Resource Manager Node Man."
"UDP",410,"DECLadebug Remote Debug Protocol"
"UDP",411,"Remote MT Protocol"
"UDP",412,"Trap Convention Port"
"UDP",413,"SMSP"
"UDP",414,"InfoSeek"
"UDP",415,"BNet"
"UDP",416,"Silverplatter"
"UDP",417,"Onmux"
"UDP",418,"Hyper-G"
"UDP",419,"Ariel"
"UDP",420,"SMPTE"
"UDP",421,"Ariel"
"UDP",422,"Ariel"
"UDP",423,"IBM Operations Planning and Control Start"
"UDP",424,"IBM Operations Planning and Control Track"
"UDP",425,"ICAD"
"UDP",426,"smartsdp"
"UDP",427,"Server Location"
"UDP",428,"OCS_CMU"
"UDP",429,"OCS_AMU"
"UDP",430,"UTMPSD"
"UDP",431,"UTMPCD"
"UDP",432,"IASD"
"UDP",433,"NNSP"
"UDP",434,"MobileIP-Agent"
"UDP",435,"MobilIP-MN"
"UDP",436,"DNA-CML"
"UDP",437,"comscm"
"UDP",438,"dsfgw"
"UDP",439,"dasp"
"UDP",440,"sgcp"
"UDP",441,"decvms-sysmgt"
"UDP",442,"cvc_hostd"
"UDP",443,"HTTP protocol over TLS/SSL"
"UDP",444,"Simple Network Paging Protocol"
"UDP",445,"Microsoft-DS"
"UDP",446,"DDM-RDB"
"UDP",447,"DDM-RFM"
"UDP",448,"DDM-SSL"
"UDP",449,"AS Server Mapper"
"UDP",450,"TServer"
"UDP",451,"Cray Network Semaphore server"
"UDP",452,"Cray SFS config server"
"UDP",453,"CreativeServer"
"UDP",454,"ContentServer"
"UDP",455,"CreativePartnr"
"UDP",456,"macon-udp"
"UDP",457,"scohelp"
"UDP",458,"apple quick time"
"UDP",459,"ampr-rcmd"
"UDP",460,"skronk"
"UDP",461,"DataRampSrv"
"UDP",462,"DataRampSrvSec"
"UDP",463,"alpes"
"UDP",464,"kpasswd"
"UDP",465,"SMTP protocol over TLS/SSL"
"UDP",466,"digital-vrc"
"UDP",467,"mylex-mapd"
"UDP",468,"proturis"
"UDP",469,"Radio Control Protocol"
"UDP",470,"scx-proxy"
"UDP",471,"Mondex"
"UDP",472,"ljk-login"
"UDP",473,"hybrid-pop"
"UDP",474,"tn-tl-w2"
"UDP",475,"tcpnethaspsrv"
"UDP",476,"tn-tl-fd1"
"UDP",477,"ss7ns"
"UDP",478,"spsc"
"UDP",479,"iafserver"
"UDP",480,"iafdbase"
"UDP",481,"Ph service"
"UDP",482,"bgs-nsi"
"UDP",483,"ulpnet"
"UDP",484,"Integra Software Management Environment"
"UDP",485,"Air Soft Power Burst"
"UDP",486,"avian"
"UDP",487,"saft Simple Asynchronous File Transfer"
"UDP",488,"gss-HTTP"
"UDP",489,"nest-protocol"
"UDP",490,"micom-pfs"
"UDP",491,"go-login"
"UDP",492,"Transport Independent Convergence for FNA"
"UDP",493,"Transport Independent Convergence for FNA"
"UDP",494,"POV-Ray"
"UDP",495,"intecourier"
"UDP",496,"PIM-RP-DISC"
"UDP",497,"dantz"
"UDP",498,"siam"
"UDP",499,"ISO ILL Protocol"
"UDP",500,"ISAKMP"
"UDP",501,"STMF"
"UDP",502,"asa-appl-proto"
"UDP",503,"Intrinsa"
"UDP",504,"citadel"
"UDP",505,"mailbox-lm"
"UDP",506,"ohimsrv"
"UDP",507,"crs"
"UDP",508,"xvttp"
"UDP",509,"snare"
"UDP",510,"FirstClass Protocol"
"UDP",511,"PassGo"
"UDP",512,"used by mail system to notify users"
"UDP",513,"maintains data bases showing who's"
"UDP",514,"BSD syslogd"
"UDP",515,"spooler"
"UDP",516,"videotex"
"UDP",517,"like tenex link but across"
"UDP",518,"talkd"
"UDP",519,"unixtime"
"UDP",520,"Routing Information Protocol"
"UDP",521,"ripng"
"UDP",522,"ULP"
"UDP",523,"IBM-DB2"
"UDP",524,"NCP"
"UDP",525,"timeserver"
"UDP",526,"newdate"
"UDP",527,"Stock IXChange"
"UDP",528,"Customer IXChange"
"UDP",529,"IRC-SERV"
"UDP",530,"rpc"
"UDP",531,"chat"
"UDP",532,"readnews"
"UDP",533,"for emergency broadcasts"
"UDP",534,"MegaMedia Admin"
"UDP",535,"iiop"
"UDP",536,"opalis-rdv"
"UDP",537,"Networked Media Streaming Protocol"
"UDP",538,"gdomap"
"UDP",539,"Apertus Technologies Load Determination"
"UDP",540,"uucpd"
"UDP",541,"uucp-rlogin"
"UDP",542,"commerce"
"UDP",543,"kerberos (v4/v5)"
"UDP",544,"krcmd"
"UDP",545,"appleqtcsrvr"
"UDP",546,"DHCPv6 Client"
"UDP",547,"DHCPv6 Server"
"UDP",548,"AFP over TCP"
"UDP",549,"IDFP"
"UDP",550,"new-who"
"UDP",551,"cybercash"
"UDP",552,"deviceshare"
"UDP",553,"pirp"
"UDP",554,"Real Time Stream Control Protocol"
"UDP",555,"phAse Zero backdoor (Windows) / dsf"
"UDP",556,"rfs server"
"UDP",557,"openvms-sysipc"
"UDP",558,"SDNSKMP"
"UDP",559,"TEEDTAP"
"UDP",560,"rmonitord"
"UDP",561,"monitor"
"UDP",562,"chcmd"
"UDP",563,"NNTP protocol over TLS/SSL"
"UDP",564,"plan 9 file service"
"UDP",565,"whoami"
"UDP",566,"streettalk"
"UDP",567,"banyan-rpc"
"UDP",568,"microsoft shuttle"
"UDP",569,"microsoft rome"
"UDP",570,"demon"
"UDP",571,"udemon"
"UDP",572,"sonar"
"UDP",573,"banyan-vip"
"UDP",574,"FTP Software Agent System"
"UDP",575,"VEMMI"
"UDP",576,"ipcd"
"UDP",577,"vnas"
"UDP",578,"ipdd"
"UDP",579,"decbsrv"
"UDP",580,"SNTP HEARTBEAT"
"UDP",581,"Bundle Discovery Protocol"
"UDP",582,"SCC Security"
"UDP",583,"Philips Video-Conferencing"
"UDP",584,"Key Server"
"UDP",585,"IMAP4+SSL"
"UDP",586,"Password Change"
"UDP",587,"Submission"
"UDP",588,"CAL"
"UDP",589,"EyeLink"
"UDP",590,"TNS CML"
"UDP",591,"FileMaker Inc. - HTTP Alternate"
"UDP",592,"Eudora Set"
"UDP",593,"HTTP RPC Ep Map"
"UDP",594,"TPIP"
"UDP",595,"CAB Protocol"
"UDP",596,"SMSD"
"UDP",597,"PTC Name Service"
"UDP",598,"SCO Web Server Manager 3"
"UDP",599,"Aeolon Core Protocol"
"UDP",600,"Sun IPC server"
"UDP",606,"Cray Unified Resource Manager"
"UDP",607,"nqs"
"UDP",608,"Sender-Initiated/Unsolicited File Transfer"
"UDP",609,"npmp-trap"
"UDP",610,"npmp-local"
"UDP",611,"npmp-gui"
"UDP",612,"HMMP Indication"
"UDP",613,"HMMP Operation"
"UDP",614,"SSLshell"
"UDP",615,"Internet Configuration Manager"
"UDP",616,"SCO System Administration Server"
"UDP",617,"SCO Desktop Administration Server"
"UDP",618,"DEI-ICDA"
"UDP",619,"Digital EVM"
"UDP",620,"SCO WebServer Manager"
"UDP",621,"ESCP"
"UDP",622,"Collaborator"
"UDP",623,"Aux Bus Shunt"
"UDP",624,"Crypto Admin"
"UDP",625,"DEC DLM"
"UDP",626,"ASIA"
"UDP",627,"PassGo Tivoli"
"UDP",628,"QMQP"
"UDP",629,"3Com AMP3"
"UDP",630,"RDA"
"UDP",631,"IPP (Internet Printing Protocol)"
"UDP",632,"bmpp"
"UDP",633,"Service Status update (Sterling Software)"
"UDP",634,"ginad"
"UDP",635,"RLZ DBase"
"UDP",636,"LDAP protocol over TLS/SSL"
"UDP",637,"lanserver"
"UDP",638,"mcns-sec"
"UDP",639,"MSDP"
"UDP",640,"entrust-sps"
"UDP",641,"repcmd"
"UDP",642,"ESRO-EMSDP V1.3"
"UDP",643,"SANity"
"UDP",644,"dwr"
"UDP",645,"PSSC"
"UDP",646,"LDP"
"UDP",647,"DHCP Failover"
"UDP",648,"Registry Registrar Protocol (RRP)"
"UDP",649,"Aminet"
"UDP",650,"OBEX"
"UDP",651,"IEEE MMS"
"UDP",652,"UDLR_DTCP"
"UDP",653,"RepCmd"
"UDP",654,"AODV"
"UDP",655,"TINC"
"UDP",656,"SPMP"
"UDP",657,"RMC"
"UDP",658,"TenFold"
"UDP",659,"URL Rendezvous"
"UDP",660,"MacOS Server Admin"
"UDP",661,"HAP"
"UDP",662,"PFTP"
"UDP",663,"PureNoise"
"UDP",664,"Secure Aux Bus"
"UDP",665,"Sun DR"
"UDP",666,"doom Id Software"
"UDP",667,"campaign contribution disclosures - SDR Technologies"
"UDP",668,"MeComm"
"UDP",669,"MeRegister"
"UDP",670,"VACDSM-SWS"
"UDP",671,"VACDSM-APP"
"UDP",672,"VPPS-QUA"
"UDP",673,"CIMPLEX"
"UDP",674,"ACAP"
"UDP",675,"DCTP"
"UDP",676,"VPPS Via"
"UDP",677,"Virtual Presence Protocol"
"UDP",678,"GNU Generation Foundation NCP"
"UDP",679,"MRM"
"UDP",680,"entrust-aaas"
"UDP",681,"entrust-aams"
"UDP",682,"XFR"
"UDP",683,"CORBA IIOP"
"UDP",684,"CORBA IIOP SSL"
"UDP",685,"MDC Port Mapper"
"UDP",686,"Hardware Control Protocol Wismar"
"UDP",687,"asipregistry"
"UDP",688,"REALM-RUSD"
"UDP",689,"NMAP"
"UDP",690,"VATP"
"UDP",691,"MS Exchange Routing"
"UDP",692,"Hyperwave-ISP"
"UDP",693,"connendp"
"UDP",694,"ha-cluster"
"UDP",695,"IEEE-MMS-SSL"
"UDP",696,"RUSHD"
"UDP",697,"UUIDGEN"
"UDP",698,"OLSR"
"UDP",704,"errlog copy/server daemon"
"UDP",705,"AgentX"
"UDP",706,"SILC"
"UDP",707,"Borland DSJ"
"UDP",709,"Entrust Key Management Service Handler"
"UDP",710,"Entrust Administration Service Handler"
"UDP",711,"Cisco TDP"
"UDP",729,"IBM NetView DM/6000 Server/Client"
"UDP",730,"IBM NetView DM/6000 send/tcp"
"UDP",731,"IBM NetView DM/6000 receive/tcp"
"UDP",740,"(old) NETscout Control Protocol (old)"
"UDP",741,"netGW"
"UDP",742,"Network based Rev. Cont. Sys."
"UDP",744,"Flexible License Manager"
"UDP",747,"Fujitsu Device Control"
"UDP",748,"Russell Info Sci Calendar Manager"
"UDP",749,"kerberos administration"
"UDP",750,"kerberos version iv"
"UDP",751,"pump"
"UDP",752,"Kerberos password server"
"UDP",753,"Kerberos userreg server"
"UDP",754,"send"
"UDP",758,"nlogin"
"UDP",759,"con"
"UDP",760,"ns"
"UDP",761,"rxe"
"UDP",762,"quotad"
"UDP",763,"cycleserv"
"UDP",764,"omserv"
"UDP",765,"webster"
"UDP",767,"phone"
"UDP",769,"vid"
"UDP",770,"cadlock"
"UDP",771,"rtip"
"UDP",772,"cycleserv2"
"UDP",773,"notify"
"UDP",774,"acmaint_dbd"
"UDP",775,"acmaint_transd"
"UDP",776,"wpages"
"UDP",777,"Multiling HTTP"
"UDP",780,"wpgs"
"UDP",781,"HP performance data collector"
"UDP",782,"node HP performance data managed node"
"UDP",783,"HP performance data alarm manager"
"UDP",786,"Concert"
"UDP",787,"QSC"
"UDP",800,"mdbs_daemon"
"UDP",801,"device"
"UDP",810,"FCP Datagram"
"UDP",828,"itm-mcell-s"
"UDP",829,"PKIX-3 CA/RA"
"UDP",873,"rsync"
"UDP",886,"ICL coNETion locate server"
"UDP",887,"ICL coNETion server info"
"UDP",888,"AccessBuilder"
"UDP",900,"OMG Initial Refs"
"UDP",901,"SMPNAMERES"
"UDP",902,"IDEAFARM-CHAT"
"UDP",903,"IDEAFARM-CATCH"
"UDP",911,"xact-backup"
"UDP",989,"FTP protocol data over TLS/SSL"
"UDP",990,"FTP protocol control over TLS/SSL"
"UDP",991,"Netnews Administration System"
"UDP",992,"Telnet protocol over TLS/SSL"
"UDP",993,"IMAP4 protocol over TLS/SSL"
"UDP",994,"IRC protocol over TLS/SSL"
"UDP",995,"POP3 protocol over TLS/SSL / W32/Sobig virus"
"UDP",996,"vsinet / W32/Sobig virus"
"UDP",997,"maitrd / W32/Sobig virus"
"UDP",998,"puparp / W32/Sobig virus"
"UDP",999,"Applix ac / W32/Sobig virus"
"UDP",1000,"ock"
"UDP",1008,"Solaris"
"UDP",1010,"surf"
"UDP",1012,"This is rstatd on a openBSD box"
"UDP",1023,"Reserved"
"UDP",1024,"Reserved"
"UDP",1025,"network blackjack"
"UDP",1030,"BBN IAD"
"UDP",1031,"BBN IAD"
"UDP",1032,"BBN IAD"
"UDP",1047,"Sun's NEO Object Request Broker"
"UDP",1048,"Sun's NEO Object Request Broker"
"UDP",1049,"Tobit David Postman VPMN"
"UDP",1050,"CORBA Management Agent"
"UDP",1051,"Optima VNET"
"UDP",1052,"Dynamic DNS Tools"
"UDP",1053,"Remote Assistant (RA)"
"UDP",1054,"BRVREAD"
"UDP",1055,"ANSYS - License Manager"
"UDP",1056,"VFO"
"UDP",1057,"STARTRON"
"UDP",1058,"nim"
"UDP",1059,"nimreg"
"UDP",1060,"POLESTAR"
"UDP",1061,"KIOSK"
"UDP",1062,"Veracity"
"UDP",1063,"KyoceraNetDev"
"UDP",1064,"JSTEL"
"UDP",1065,"SYSCOMLAN"
"UDP",1066,"FPO-FNS"
"UDP",1067,"Installation Bootstrap Proto. Serv."
"UDP",1068,"Installation Bootstrap Proto. Cli."
"UDP",1069,"COGNEX-INSIGHT"
"UDP",1070,"GMRUpdateSERV"
"UDP",1071,"BSQUARE-VOIP"
"UDP",1072,"CARDAX"
"UDP",1073,"BridgeControl"
"UDP",1074,"FASTechnologies License Manager"
"UDP",1075,"RDRMSHC"
"UDP",1076,"DAB STI-C"
"UDP",1077,"IMGames"
"UDP",1078,"eManageCstp"
"UDP",1079,"ASPROVATalk"
"UDP",1080,"Socks"
"UDP",1081,"PVUNIWIEN"
"UDP",1082,"AMT-ESD-PROT"
"UDP",1083,"Anasoft License Manager"
"UDP",1084,"Anasoft License Manager"
"UDP",1085,"Web Objects"
"UDP",1086,"CPL Scrambler Logging"
"UDP",1087,"CPL Scrambler Internal"
"UDP",1088,"CPL Scrambler Alarm Log"
"UDP",1089,"FF Annunciation"
"UDP",1090,"FF Fieldbus Message Specification"
"UDP",1091,"FF System Management"
"UDP",1092,"OBRPD"
"UDP",1093,"PROOFD"
"UDP",1094,"ROOTD"
"UDP",1095,"NICELink"
"UDP",1096,"Common Name Resolution Protocol"
"UDP",1097,"Sun Cluster Manager"
"UDP",1098,"RMI Activation"
"UDP",1099,"RMI Registry"
"UDP",1100,"MCTP"
"UDP",1101,"PT2-DISCOVER"
"UDP",1102,"ADOBE SERVER 1"
"UDP",1103,"ADOBE SERVER 2"
"UDP",1104,"XRL"
"UDP",1105,"FTRANHC"
"UDP",1106,"ISOIPSIGPORT-1"
"UDP",1107,"ISOIPSIGPORT-2"
"UDP",1108,"ratio-adp"
"UDP",1110,"Client status info"
"UDP",1111,"LM Social Server"
"UDP",1112,"Intelligent Communication Protocol"
"UDP",1114,"Mini SQL"
"UDP",1115,"ARDUS Transfer"
"UDP",1116,"ARDUS Control"
"UDP",1117,"ARDUS Multicast Transfer"
"UDP",1123,"Murray"
"UDP",1155,"Network File Access"
"UDP",1161,"Health Polling"
"UDP",1162,"Health Trap"
"UDP",1167,"conference calling"
"UDP",1169,"TRIPWIRE"
"UDP",1180,"Millicent Client Proxy"
"UDP",1188,"HP Web Admin"
"UDP",1200,"SCOL"
"UDP",1201,"Nucleus Sand"
"UDP",1202,"caiccipc"
"UDP",1203,"License Validation"
"UDP",1204,"Log Request Listener"
"UDP",1205,"Accord-MGC"
"UDP",1206,"Anthony Data"
"UDP",1207,"MetaSage"
"UDP",1208,"SEAGULL AIS"
"UDP",1209,"IPCD3"
"UDP",1210,"EOSS"
"UDP",1211,"Groove DPP"
"UDP",1212,"lupa"
"UDP",1213,"MPC LIFENET"
"UDP",1214,"KAZAA"
"UDP",1215,"scanSTAT 1.0"
"UDP",1216,"ETEBAC 5"
